antecedent,consequent,antecedent_n,consequent_n,both_n,support_pct,confidence,lift,p_value,significant_bonferroni,significant_at_kept_alpha
AWS,Machine Learning,115,219,58,8.75,0.504,1.527,1.5777477381344468e-05,False,True
Database + Python,English,123,241,58,8.75,0.472,1.297,0.004280351073549313,False,False
English + Python,Database,130,202,58,8.75,0.446,1.464,0.00010002522295578318,False,False
Database + SQL,ETL,141,128,58,8.75,0.411,2.131,4.025612412562252e-12,True,True
Data Analysis + Reporting,Statistics,159,116,58,8.75,0.365,2.085,1.0044464909004295e-11,True,True
Azure + GCP,Cloud,61,150,57,8.6,0.934,4.13,2.3805639025130814e-36,True,True
ELT,SQL,63,344,57,8.6,0.905,1.744,7.786619471833256e-12,True,True
Data Analysis + Data Warehouse,SQL,65,344,57,8.6,0.877,1.69,1.628319026736878e-10,True,True
Azure + Cloud,GCP,67,81,57,8.6,0.851,6.964,2.763528790219741e-52,True,True
Data Lake,Data Warehouse,67,141,57,8.6,0.851,4.0,5.777224864922212e-33,True,True
Cloud + GCP,Azure,71,95,57,8.6,0.803,5.603,3.4383808072650187e-43,True,True
Git,Python,72,313,57,8.6,0.792,1.677,4.5555324530235174e-09,True,True
Data Analysis + Python,Data Management,118,200,57,8.6,0.483,1.601,3.5154750066522944e-06,True,True
Data Warehouse,Data Lake,141,67,57,8.6,0.404,4.0,5.777224864922212e-33,True,True
TensorFlow,PyTorch,57,59,56,8.45,0.982,11.04,1.415901520641455e-76,True,True
PyTorch,TensorFlow,59,57,56,8.45,0.949,11.04,1.415901520641455e-76,True,True
Big Data + Python,SQL,67,344,56,8.45,0.836,1.611,1.2760482436386308e-08,True,True
Data Analysis + Database,SQL,69,344,56,8.45,0.812,1.564,1.0658922647247682e-07,True,True
Big Data + SQL,Python,80,313,56,8.45,0.7,1.483,9.943244658740588e-06,True,True
Cloud + Python,GCP,103,81,56,8.45,0.544,4.45,2.8881405626440437e-33,True,True
Data Analysis + Reporting,Tableau,159,92,56,8.45,0.352,2.538,1.7377961308449782e-16,True,True
TensorFlow,Python,57,313,55,8.3,0.965,2.044,4.119395200897154e-17,True,True
Deep Learning,Python,64,313,55,8.3,0.859,1.82,1.5771508334723755e-11,True,True
AI + API,Python,66,313,55,8.3,0.833,1.765,2.0541402882588707e-10,True,True
Data Management + Power BI,Reporting,67,273,55,8.3,0.821,1.994,5.782891170989025e-13,True,True
AI + English,Python,69,313,55,8.3,0.797,1.688,5.665850569927815e-09,True,True
API + Python,AI,97,147,55,8.3,0.567,2.557,4.478362982092003e-16,True,True
